n_task	metric	correlation
6	variance_mc	0.6848608569887008
6	log_det_mc	0.6982104636642567
6	inverse_trace_mc	0.6532734445686104
6	random	0.45428329704539466
6	variance	0.6947240462252292
6	variance_mc	0.6704328802585525
6	log_det_mc	0.6451227243273459
6	inverse_trace_mc	0.6394639706767538
6	random	0.5379723600423665
6	variance	0.7023726221777653
6	variance_mc	0.6759761400009604
6	log_det_mc	0.7154280455689326
6	inverse_trace_mc	0.6640362192304997
8	random	0.5873935183680685
8	variance	0.6583846851665491
8	variance_mc	0.6351750247791366
8	log_det_mc	0.7122994078442394
8	inverse_trace_mc	0.655427242628736
8	random	0.5503999180035082
8	variance	0.6679255578260916
8	variance_mc	0.6538598545909527
8	log_det_mc	0.7299116063892311
8	inverse_trace_mc	0.6770430840709621
8	random	0.5578548377367667
8	variance	0.6100785672279112
8	variance_mc	0.7211213268951735
8	log_det_mc	0.7583949169863704
8	inverse_trace_mc	0.7257081742505499
8	random	0.578280058032713
8	variance	0.7246766258445604
8	variance_mc	0.6342703923342442
8	log_det_mc	0.6823204703497177
8	inverse_trace_mc	0.6964038052351954
8	random	0.6335778195388582
8	variance	0.6527139759811641
8	variance_mc	0.6621126507458995
8	log_det_mc	0.6183715622247646
8	inverse_trace_mc	0.6693452626692101
8	random	0.6278826020841566
8	variance	0.6301951506917872
8	variance_mc	0.6304830507092356
8	log_det_mc	0.6756423855095034
8	inverse_trace_mc	0.682484525171338
8	random	0.6324163583470689
8	variance	0.6543067245430002
8	variance_mc	0.7176727402369705
8	log_det_mc	0.6976567254917607
8	inverse_trace_mc	0.7241101563785644
8	random	0.6320982477539444
8	variance	0.6632100971584448
8	variance_mc	0.6884026420895628
8	log_det_mc	0.7554821635359416
8	inverse_trace_mc	0.7172773989487039
8	random	0.5090973322272402
8	variance	0.6988006916971048
8	variance_mc	0.7234160895998426
8	log_det_mc	0.7520341460269987
8	inverse_trace_mc	0.6780709354525485
8	random	0.6435365812137598
8	variance	0.7092656848148478
8	variance_mc	0.6670816904343508
8	log_det_mc	0.6876552673150245
8	inverse_trace_mc	0.7355241539293175
8	random	0.5828194049358314
8	variance	0.6942464540190919
8	variance_mc	0.66419940636485
8	log_det_mc	0.7107254536066694
8	inverse_trace_mc	0.739111149646907
8	random	0.5837069216052199
8	variance	0.7056410864669489
8	variance_mc	0.6695995904738281
8	log_det_mc	0.7061744200711607
8	inverse_trace_mc	0.7266926781747303
8	random	0.6081925703286152
8	variance	0.7341225532185581
8	variance_mc	0.7346312764054568
8	log_det_mc	0.753097037146134
8	inverse_trace_mc	0.7315918089271684
8	random	0.5490387702733867
